Rawon_etal_EPSL_2016_Major_Elements,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
130126_01Dii,63.59,1.04,16.45,4.95,0.16,1.63,4.15,5.50,1.56,0.36
130126_01Di,63.24,1.06,16.51,5.04,0.16,1.70,4.28,5.48,1.53,0.38
130107_03F,55.38,1.14,17.39,8.05,0.16,4.28,7.13,3.85,1.01,0.25
130129_01A,53.95,1.12,17.93,8.26,0.16,4.61,8.00,3.66,0.81,0.21
130117_01C,54.60,1.15,17.52,8.35,0.16,4.55,7.86,3.80,0.88,0.22
123_03A,55.77,1.29,16.57,8.26,0.18,2.90,6.30,4.44,1.03,0.28
229_02D,60.61,1.18,16.53,6.55,0.17,2.20,5.15,5.04,1.36,0.36
130106_07Aii,57.37,1.15,17.39,7.45,0.16,3.20,7.03,4.31,1.13,0.25
130117_01E,52.92,1.01,18.35,8.00,0.15,5.28,8.62,3.45,0.73,0.18
130106_07Ai ,57.17,1.15,17.29,7.45,0.16,3.22,6.98,4.30,1.13,0.25
130106_07D,57.76,1.15,17.31,7.38,0.16,3.12,6.81,4.33,1.17,0.25
130106_07F,57.66,1.16,17.29,7.38,0.16,2.99,6.70,4.38,1.17,0.26
130106_03C,57.75,1.16,17.65,7.21,0.16,2.84,6.75,4.52,1.09,0.27
130106_08G,57.68,1.26,17.19,7.65,0.17,2.89,5.43,4.35,1.11,0.25
130106_08F,58.90,1.28,16.45,7.72,0.18,2.61,5.56,4.65,1.30,0.31
130108_05Ciii,52.03,1.04,20.82,7.88,0.13,2.53,5.38,3.28,0.82,0.21
130108_05Ci,55.00,0.97,19.36,7.27,0.14,2.58,5.68,3.84,1.00,0.19
130108_05Cii,58.77,0.89,17.05,6.89,0.16,2.99,6.21,4.39,1.29,0.15
130111_02Bi,52.66,1.24,17.65,9.33,0.18,4.29,8.88,3.78,0.64,0.15
130130_05Bi,52.16,1.27,17.59,9.66,0.17,4.47,8.78,3.70,0.59,0.15
130130_05Ci,53.95,0.84,23.05,4.67,0.17,0.71,2.22,3.64,1.30,0.21
130130_05Dii,56.79,0.89,20.56,5.12,0.15,1.36,3.20,4.46,1.36,0.23
